Year,Sector,Industry,Value
2005,,,44819
2005,"Agriculture, Fishing and Forestry",,10054
2005,Industry,,3149
2005,Services,,28281
2005,Plus Taxes less Subsidies on Products,,5271
2005,Less imputed Bank Service Charge,,1986
2005,,Crop Production,7901
2005,,Animal Production,1011
2005,,Forestry,755
2005,,Fishing,387
2005,,Mining and Quarrying,
2005,,Manufacturing,1304
2005,,Electricity and Water Supply,893
2005,,Construction,952
2005,,"Wholesale, Retail Trade, repair of Motor vehicles",706
2005,,Other Wholesale Trade,1883
2005,,Retail Trade,3696
2005,,Transport,3022
2005,,Accommodation and Food Services,1916
2005,,Information and Communication,1710
2005,,Finance and Insurance,3936
2005,,Real Estate,3526
2005,,"Professional, Scientific, Technical, Admin/Services",1234
2005,,Government Services,5723
2005,,"Education, Health, Recreation, and Other Services",929
2006,,,48611
2006,"Agriculture, Fishing and Forestry",,10201
2006,Industry,,3935
2006,Services,,30846
2006,Plus Taxes less Subsidies on Products,,5742
2006,Less imputed Bank Service Charge,,2113
2006,,Crop Production,8180
2006,,Animal Production,1073
2006,,Forestry,548
2006,,Fishing,399
2006,,Mining and Quarrying,10
2006,,Manufacturing,1756
2006,,Electricity and Water Supply,917
2006,,Construction,1252
2006,,"Wholesale, Retail Trade, repair of Motor vehicles",735
2006,,Other Wholesale Trade,2056
2006,,Retail Trade,5095
2006,,Transport,3009
2006,,Accommodation and Food Services,1986
2006,,Information and Communication,1760
2006,,Finance and Insurance,4214
2006,,Real Estate,3611
2006,,"Professional, Scientific, Technical, Admin/Services",1306
2006,,Government Services,5776
2006,,"Education, Health, Recreation, and Other Services",1300
2007,,,50009
2007,"Agriculture, Fishing and Forestry",,10558
2007,Industry,,3537
2007,Services,,31090
2007,Plus Taxes less Subsidies on Products,,7070
2007,Less imputed Bank Service Charge,,2245
2007,,Crop Production,8432
2007,,Animal Production,1129
2007,,Forestry,584
2007,,Fishing,413
2007,,Mining and Quarrying,125
2007,,Manufacturing,1092
2007,,Electricity and Water Supply,978
2007,,Construction,1341
2007,,"Wholesale, Retail Trade, repair of Motor vehicles",734
2007,,Other Wholesale Trade,2016
2007,,Retail Trade,5303
2007,,Transport,2264
2007,,Accommodation and Food Services,2195
2007,,Information and Communication,2150
2007,,Finance and Insurance,4128
2007,,Real Estate,3700
2007,,"Professional, Scientific, Technical, Admin/Services",1383
2007,,Government Services,6054
2007,,"Education, Health, Recreation, and Other Services",1163
2008,,,52810
2008,"Agriculture, Fishing and Forestry",,10465
2008,Industry,,4509
2008,Services,,32564
2008,Plus Taxes less Subsidies on Products,,7705
2008,Less imputed Bank Service Charge,,2434
2008,,Crop Production,8613
2008,,Animal Production,804
2008,,Forestry,622
2008,,Fishing,427
2008,,Mining and Quarrying,22
2008,,Manufacturing,1044
2008,,Electricity and Water Supply,1116
2008,,Construction,2327
2008,,"Wholesale, Retail Trade, repair of Motor vehicles",773
2008,,Other Wholesale Trade,1698
2008,,Retail Trade,5683
2008,,Transport,1480
2008,,Accommodation and Food Services,2427
2008,,Information and Communication,2638
2008,,Finance and Insurance,4826
2008,,Real Estate,3838
2008,,"Professional, Scientific, Technical, Admin/Services",1659
2008,,Government Services,6322
2008,,"Education, Health, Recreation, and Other Services",1221
2009,,,54414
2009,"Agriculture, Fishing and Forestry",,9963
2009,Industry,,5754
2009,Services,,34045
2009,Plus Taxes less Subsidies on Products,,7207
2009,Less imputed Bank Service Charge,,2555
2009,,Crop Production,8311
2009,,Animal Production,561
2009,,Forestry,663
2009,,Fishing,428
2009,,Mining and Quarrying,22
2009,,Manufacturing,1192
2009,,Electricity and Water Supply,1138
2009,,Construction,3402
2009,,"Wholesale, Retail Trade, repair of Motor vehicles",810
2009,,Other Wholesale Trade,1668
2009,,Retail Trade,5987
2009,,Transport,2535
2009,,Accommodation and Food Services,2827
2009,,Information and Communication,3031
2009,,Finance and Insurance,3698
2009,,Real Estate,3906
2009,,"Professional, Scientific, Technical, Admin/Services",1911
2009,,Government Services,6638
2009,,"Education, Health, Recreation, and Other Services",1035
2010,,,55099
2010,"Agriculture, Fishing and Forestry",,10425
2010,Industry,,6454
2010,Services,,34961
2010,Plus Taxes less Subsidies on Products,,5964
2010,Less imputed Bank Service Charge,,2705
2010,,Crop Production,8381
2010,,Animal Production,906
2010,,Forestry,708
2010,,Fishing,430
2010,,Mining and Quarrying,16
2010,,Manufacturing,2198
2010,,Electricity and Water Supply,1221
2010,,Construction,3020
2010,,"Wholesale, Retail Trade, repair of Motor vehicles",838
2010,,Other Wholesale Trade,1737
2010,,Retail Trade,6561
2010,,Transport,3232
2010,,Accommodation and Food Services,2877
2010,,Information and Communication,2656
2010,,Finance and Insurance,3628
2010,,Real Estate,4137
2010,,"Professional, Scientific, Technical, Admin/Services",1816
2010,,Government Services,6546
2010,,"Education, Health, Recreation, and Other Services",934
2011,,,56829
2011,"Agriculture, Fishing and Forestry",,10759
2011,Industry,,5222
2011,Services,,37481
2011,Plus Taxes less Subsidies on Products,,6461
2011,Less imputed Bank Service Charge,,3093
2011,,Crop Production,8676
2011,,Animal Production,894
2011,,Forestry,756
2011,,Fishing,433
2011,,Mining and Quarrying,13
2011,,Manufacturing,2031
2011,,Electricity and Water Supply,1252
2011,,Construction,1925
2011,,"Wholesale, Retail Trade, repair of Motor vehicles",887
2011,,Other Wholesale Trade,1852
2011,,Retail Trade,6871
2011,,Transport,3349
2011,,Accommodation and Food Services,2848
2011,,Information and Communication,3393
2011,,Finance and Insurance,3957
2011,,Real Estate,4265
2011,,"Professional, Scientific, Technical, Admin/Services",1901
2011,,Government Services,7099
2011,,"Education, Health, Recreation, and Other Services",1060
2012,,,57403
2012,"Agriculture, Fishing and Forestry",,10553
2012,Industry,,4064
2012,Services,,39138
2012,Plus Taxes less Subsidies on Products,,6114
2012,Less imputed Bank Service Charge,,2468
2012,,Crop Production,8421
2012,,Animal Production,887
2012,,Forestry,809
2012,,Fishing,436
2012,,Mining and Quarrying,19
2012,,Manufacturing,1751
2012,,Electricity and Water Supply,1222
2012,,Construction,1073
2012,,"Wholesale, Retail Trade, repair of Motor vehicles",820
2012,,Other Wholesale Trade,2371
2012,,Retail Trade,7050
2012,,Transport,4470
2012,,Accommodation and Food Services,2973
2012,,Information and Communication,3102
2012,,Finance and Insurance,4067
2012,,Real Estate,4653
2012,,"Professional, Scientific, Technical, Admin/Services",1520
2012,,Government Services,7079
2012,,"Education, Health, Recreation, and Other Services",1035
2013,,,57669
2013,"Agriculture, Fishing and Forestry",,10698
2013,Industry,,4405
2013,Services,,38791
2013,Plus Taxes less Subsidies on Products,,6292
2013,Less imputed Bank Service Charge,,2517
2013,,Crop Production,8496
2013,,Animal Production,896
2013,,Forestry,866
2013,,Fishing,441
2013,,Mining and Quarrying,16
2013,,Manufacturing,1646
2013,,Electricity and Water Supply,1245
2013,,Construction,1499
2013,,"Wholesale, Retail Trade, repair of Motor vehicles",828
2013,,Other Wholesale Trade,2255
2013,,Retail Trade,7081
2013,,Transport,3463
2013,,Accommodation and Food Services,3084
2013,,Information and Communication,3343
2013,,Finance and Insurance,4277
2013,,Real Estate,4739
2013,,"Professional, Scientific, Technical, Admin/Services",1506
2013,,Government Services,7198
2013,,"Education, Health, Recreation, and Other Services",1019
2014,,,59478
2014,"Agriculture, Fishing and Forestry",,12021
2014,Industry,,4167
2014,Services,,40282
2014,Plus Taxes less Subsidies on Products,,5930
2014,Less imputed Bank Service Charge,,2922
2014,,Crop Production,9744
2014,,Animal Production,904
2014,,Forestry,928
2014,,Fishing,446
2014,,Mining and Quarrying,16
2014,,Manufacturing,1808
2014,,Electricity and Water Supply,1225
2014,,Construction,1118
2014,,"Wholesale, Retail Trade, repair of Motor vehicles",638
2014,,Other Wholesale Trade,2527
2014,,Retail Trade,7561
2014,,Transport,3584
2014,,Accommodation and Food Services,3123
2014,,Information and Communication,3433
2014,,Finance and Insurance,4618
2014,,Real Estate,4868
2014,,"Professional, Scientific, Technical, Admin/Services",1488
2014,,Government Services,7331
2014,,"Education, Health, Recreation, and Other Services",1110
2015,,,59696
2015,"Agriculture, Fishing and Forestry",,17860
2015,Industry,,7905
2015,Services,,48622
2015,Plus Taxes less Subsidies on Products,,8718
2015,Less imputed Bank Service Charge,,3448
2015,,Crop Production,15457
2015,,Animal Production,994
2015,,Forestry,971
2015,,Fishing,438
2015,,Mining and Quarrying,15
2015,,Manufacturing,2258
2015,,Electricity and Water Supply,1577
2015,,Construction,4054
2015,,"Wholesale, Retail Trade, repair of Motor vehicles",989
2015,,Other Wholesale Trade,3118
2015,,Retail Trade,9577
2015,,Transport,2204
2015,,Accommodation and Food Services,3323
2015,,Information and Communication,3547
2015,,Finance and Insurance,6776
2015,,Real Estate,6199
2015,,"Professional, Scientific, Technical, Admin/Services",2052
2015,,Government Services,9354
2015,,"Education, Health, Recreation, and Other Services",1483
2016,,,84707
2016,"Agriculture, Fishing and Forestry",,18367
2016,Industry,,8452
2016,Services,,52763
2016,Plus Taxes less Subsidies on Products,,8489
2016,Less imputed Bank Service Charge,,3364
2016,,Crop Production,15803
2016,,Animal Production,1081
2016,,Forestry,1045
2016,,Fishing,438
2016,,Mining and Quarrying,27
2016,,Manufacturing,2125
2016,,Electricity and Water Supply,1671
2016,,Construction,4628
2016,,"Wholesale, Retail Trade, repair of Motor vehicles",903
2016,,Other Wholesale Trade,3510
2016,,Retail Trade,11226
2016,,Transport,3021
2016,,Accommodation and Food Services,3392
2016,,Information and Communication,3817
2016,,Finance and Insurance,7133
2016,,Real Estate,6285
2016,,"Professional, Scientific, Technical, Admin/Services",2756
2016,,Government Services,9254
2016,,"Education, Health, Recreation, and Other Services",1468
2017,,,94887
2017,"Agriculture, Fishing and Forestry",,20278
2017,Industry,,9650
2017,Services,,57745
2017,Plus Taxes less Subsidies on Products,,10444
2017,Less imputed Bank Service Charge,,3228
2017,,Crop Production,17620
2017,,Animal Production,1091
2017,,Forestry,1030
2017,,Fishing,537
2017,,Mining and Quarrying,27
2017,,Manufacturing,2755
2017,,Electricity and Water Supply,1669
2017,,Construction,5198
2017,,"Wholesale, Retail Trade, repair of Motor vehicles",1221
2017,,Other Wholesale Trade,3216
2017,,Retail Trade,13116
2017,,Transport,3990
2017,,Accommodation and Food Services,3969
2017,,Information and Communication,4725
2017,,Finance and Insurance,5963
2017,,Real Estate,6610
2017,,"Professional, Scientific, Technical, Admin/Services",2840
2017,,Government Services,10559
2017,,"Education, Health, Recreation, and Other Services",1537
2018,,,100771
2018,"Agriculture, Fishing and Forestry",,21383
2018,Industry,,10173
2018,Services,,60255
2018,Plus Taxes less Subsidies on Products,,11912
2018,Less imputed Bank Service Charge,,2952
2018,,Crop Production,18557
2018,,Animal Production,1202
2018,,Forestry,1079
2018,,Fishing,546
2018,,Mining and Quarrying,34
2018,,Manufacturing,2798
2018,,Electricity and Water Supply,1770
2018,,Construction,5572
2018,,"Wholesale, Retail Trade, repair of Motor vehicles",1278
2018,,Other Wholesale Trade,3354
2018,,Retail Trade,13448
2018,,Transport,3738
2018,,Accommodation and Food Services,4061
2018,,Information and Communication,5299
2018,,Finance and Insurance,6455
2018,,Real Estate,6735
2018,,"Professional, Scientific, Technical, Admin/Services",2953
2018,,Government Services,11258
2018,,"Education, Health, Recreation, and Other Services",1675