Province,Constituency,Area Council,GeoCode
Malampa,,,VU04
Penama,,,VU03
Sanma,,,VU02
Shefa,,,VU05
Tafea,,,VU06
Torba,,,VU01
Penama,Ambae,,
Malampa,Ambrym,,
Torba,Banks,,
Shefa,Efate,,
Shefa,Epi,,
Sanma,Luganville,,
Penama,Maewo,,
Malampa,Malekula,,
Sanma,Malo,,
Malampa,Paama,,
Penama,Pentecost,,
Shefa,Port Vila,,
Sanma,Santo Rural,,
Shefa,Shepherds,,
Tafea,Tafea Outer Islands,,
Tafea,Tanna,,
Shefa,Tongoa,,
Torba,Torres,,
Tafea,Tafea Outer Islands,Aneityum,VU06021
Tafea,Tafea Outer Islands,Aniwa,VU06005
Sanma,Santo Rural,Canal Fanafo,VU02061
Malampa,Malekula,Central Malekula,VU04008
Penama,Pentecost,Central Pentecost 1,VU03060
Penama,Pentecost,Central Pentecost 2,VU03018
Penama,Ambae,East Ambae,VU03051
Sanma,Malo,East Malo,VU02042
Sanma,Santo Rural,East Santo,VU02056
Shefa,Efate,Emau,VU05034
Shefa,Efate,Erakor,VU05040
Shefa,Efate,Eratap,VU05003
Shefa,Efate,Eton,VU05037
Tafea,Tafea Outer Islands,Futuna,VU06004
Torba,Banks,Gaua,VU01053
Shefa,Efate,Ifira,VU05039
Sanma,Luganville,Luganville,VU02001
Shefa,Shepherds,Makimae,VU05033
Shefa,Efate,Malorua,VU05041
Shefa,Efate,Mele,VU05057
Torba,Banks,Merelava,VU01065
Tafea,Tanna,Middle Bush Tanna,VU06062
Torba,Banks,Mota,VU01064
Torba,Banks,Motalava,VU01063
Shefa,Efate,Nguna,VU05036
Penama,Ambae,North Ambae,VU03050
Malampa,Ambrym,North Ambrym,VU04011
Malampa,Malekula,North East Malekula,VU04007
Shefa,Efate,North Efate,VU05035
Tafea,Tafea Outer Islands,North Erromango,VU06019
Penama,Maewo,North Maewo,VU03014
Penama,Pentecost,North Pentecost,VU03017
Sanma,Santo Rural,North Santo,VU02047
Tafea,Tanna,North Tanna,VU06026
Shefa,Tongoa,North Tongoa,VU05031
Malampa,Malekula,North West Malekula,VU04006
Sanma,Santo Rural,North West Santo,VU02044
Malampa,Paama,Paama,VU04013
Shefa,Efate,Pango,VU05038
Shefa,Port Vila,Port Vila,VU05002
Penama,Ambae,South Ambae,VU03049
Malampa,Ambrym,South East Ambrym,VU04012
Malampa,Malekula,South East Malekula,VU04009
Sanma,Santo Rural,South East Santo,VU02046
Shefa,Epi,South Epi,VU05027
Tafea,Tafea Outer Islands,South Erromango,VU06020
Penama,Maewo,South Maewo,VU03015
Malampa,Malekula,South Malekula,VU04058
Penama,Pentecost,South Pentecost,VU03016
Sanma,Santo Rural,South Santo,VU02045
Tafea,Tanna,South Tanna,VU06022
Malampa,Malekula,South West Malekula,VU04059
Tafea,Tanna,South West Tanna,VU06023
Shefa,Tongoa,Tongariki,VU05032
Torba,Torres,Torres,VU01055
Torba,Banks,Ureparapara,VU01066
Torba,Banks,Vanua Lava,VU01054
Shefa,Epi,Varisu,VU05030
Shefa,Epi,Vermali,VU05029
Shefa,Epi,Vermaul,VU05028
Penama,Ambae,West Ambae,VU03052
Malampa,Ambrym,West Ambrym,VU04010
Sanma,Malo,West Malo,VU02043
Sanma,Santo Rural,West Santo,VU02048
Tafea,Tanna,West Tanna,VU06023
Tafea,Tanna,Whitesands,VU06024